municipio,data,taxa
171750,2021-11-01,112.3882503192848
171780,2021-11-01,21.805494984736153
171790,2021-11-01,30.517578125
171800,2021-11-01,43.75000000000001
171820,2021-11-01,57.256891342459625
171830,2021-11-01,21.02067032582039
171840,2021-11-01,40.894220283533265
171845,2021-11-01,14.566642388929353
171850,2021-11-01,34.17634996582365
171855,2021-11-01,38.111369892017784
171865,2021-11-01,40.70556309362279
171870,2021-11-01,20.840569642236886
171875,2021-11-01,32.31763619575254
171880,2021-11-01,43.06808859721083
171884,2021-11-01,50.43013942450311
171886,2021-11-01,42.97994269340974
171888,2021-11-01,25.445292620865143
171889,2021-11-01,58.163689239717485
171890,2021-11-01,43.174342105263165
171900,2021-11-01,27.3224043715847
172000,2021-11-01,23.715415019762847
172010,2021-11-01,31.15264797507788
172015,2021-11-01,68.32298136645963
172020,2021-11-01,4.017677782241864
172025,2021-11-01,12.8783000643915
172030,2021-11-01,22.45814618211515
172049,2021-11-01,44.178794178794185
172065,2021-11-01,42.18635363169479
172080,2021-11-01,22.30897936419409
172085,2021-11-01,24.91280518186348
172090,2021-11-01,54.226099257338205
172093,2021-11-01,59.55107650022904
172097,2021-11-01,49.452490286117985
172100,2021-11-01,34.2429687026287
172110,2021-11-01,76.7429760665973
172120,2021-11-01,57.84399649430325
172125,2021-11-01,46.10655737704918
172130,2021-11-01,35.90664272890485
172208,2021-11-01,40.736654502249
172210,2021-11-01,58.26086956521739
170025,2021-12-01,30.663089306247606
170030,2021-12-01,17.023691303731024
170035,2021-12-01,30.17160098057703
170040,2021-12-01,26.068066618392468
170070,2021-12-01,78.74955255936047
170100,2021-12-01,51.93428722840488
170105,2021-12-01,25.899280575539567
170110,2021-12-01,36.727198530912055
170130,2021-12-01,29.798422436459244
170190,2021-12-01,47.07185380035996
170200,2021-12-01,59.39653124257543
170210,2021-12-01,48.752986657359926
170215,2021-12-01,47.814207650273225
170220,2021-12-01,34.17821890465644
170230,2021-12-01,101.66919575113809
170240,2021-12-01,39.04018282231956
170255,2021-12-01,45.04504504504504
170270,2021-12-01,15.752165922814386
170290,2021-12-01,39.72700417642865
170300,2021-12-01,28.121484814398197
170305,2021-12-01,57.835307077939966
170307,2021-12-01,49.21891718382195
170310,2021-12-01,29.987652143235138
170320,2021-12-01,49.56071187204325
170330,2021-12-01,70.3125
170360,2021-12-01,63.034669067987394
170370,2021-12-01,46.931407942238266
170380,2021-12-01,30.058399175541048
170382,2021-12-01,30.527692978630615
170384,2021-12-01,28.557829604950022
170386,2021-12-01,33.34074238719716
170388,2021-12-01,38.066235249333836
170389,2021-12-01,28.811524609843936
170390,2021-12-01,36.27130939426913
170410,2021-12-01,50.573162508428865
170460,2021-12-01,49.46996466431096
170510,2021-12-01,42.04204204204204
170550,2021-12-01,53.210553886024655
170555,2021-12-01,24.640657084188913
170560,2021-12-01,49.140049140049136
170600,2021-12-01,31.63444639718805
170610,2021-12-01,33.02146395156852
170625,2021-12-01,5.717552887364208
170650,2021-12-01,47.99999999999999
170700,2021-12-01,49.770965468639886
170710,2021-12-01,55.825937589464644
170720,2021-12-01,15.33528509689112
170730,2021-12-01,59.7524541186513
170740,2021-12-01,21.27659574468085
170755,2021-12-01,36.61087866108787
170765,2021-12-01,51.70432784373803
